figure_panel,regimen,biomarker,curve,time_day,value,units,digitization_note
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,7.5,18.7761,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,7.75,20.5273,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,8.0,20.5273,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,8.25,18.1432,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,8.5,16.0359,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,8.75,7.65977,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,9.0,4.07716,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,9.25,9.78626,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,9.5,9.43814,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,9.75,8.49774,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,10.0,7.74925,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,10.25,7.28821,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,10.5,6.82194,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,10.75,6.41523,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,11.0,6.03277,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,11.25,5.67311,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,11.5,5.61474,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,11.75,5.44409,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,12.0,5.36747,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,12.25,5.27862,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,12.5,5.20843,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,12.75,4.74967,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,13.0,4.54562,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,13.25,5.90269,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,13.5,7.6649,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,13.75,9.95321,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,14.0,13.5322,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,14.25,16.0359,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,14.5,16.0359,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,14.75,15.0355,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,15.0,13.8382,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,15.25,12.7362,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,15.5,12.2521,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,15.75,11.7773,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,16.0,11.3298,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,16.25,10.6557,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,16.5,9.78626,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,16.75,9.1799,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,17.0,8.90205,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,17.25,8.63262,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,17.5,8.37133,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,17.75,8.13182,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,18.0,8.38673,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,18.25,8.35049,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,18.5,8.13182,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,18.75,8.13182,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,19.0,7.87969,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,19.25,7.73572,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,19.5,7.59437,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,19.75,7.45561,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,20.0,7.31938,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,20.25,7.19584,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,20.5,7.41264,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,20.75,7.42433,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,21.0,19.2985,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,21.25,23.2248,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,21.5,20.3736,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,21.75,19.9093,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,22.0,19.4556,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,22.25,19.0123,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,22.5,18.7119,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,22.75,17.6403,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,23.0,16.5908,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,23.25,16.0359,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,23.5,15.1354,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,23.75,14.7467,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,24.0,14.2329,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,24.25,13.737,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,24.5,13.2584,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,24.75,13.2465,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,25.0,13.3249,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,25.25,12.5272,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,25.5,12.5272,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,25.75,12.5272,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,26.0,12.5272,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,26.25,10.9147,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,26.5,10.2897,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,26.75,10.6405,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,27.0,11.0034,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,27.25,11.3785,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,27.5,12.1465,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,27.75,11.9032,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,28.0,11.7773,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,28.25,11.7773,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,28.5,11.7773,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,28.75,11.0723,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,29.0,11.0723,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,29.25,11.0723,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,29.5,11.0723,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,29.75,11.0723,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,30.0,11.4193,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
C,1.6/10/10 mg C1D1/C1D8/C1D15; 20 mg Day 1 subsequent cycles,IL6,p95_green,30.25,11.4193,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
