figure_panel,regimen,patient_rank_fraction,approx_virtual_patient_rank_if_N4500,tumor_change_percent_day84,units,digitization_note
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.4940,2224,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.4960,2233,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.4980,2242,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5000,2250,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5020,2259,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5040,2268,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5060,2277,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5080,2286,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5100,2295,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5120,2304,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5140,2313,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5160,2322,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5180,2331,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5200,2340,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5220,2349,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5240,2358,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5260,2367,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5280,2376,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5300,2385,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5320,2394,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5340,2403,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5360,2412,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5380,2421,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5400,2430,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5420,2439,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5440,2448,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5460,2457,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5480,2466,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5500,2475,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5520,2484,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5540,2493,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5560,2502,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5580,2511,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5600,2520,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5620,2529,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5640,2538,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5660,2547,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5680,2556,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5700,2565,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5720,2574,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5740,2583,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5760,2592,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5780,2601,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5800,2610,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5820,2619,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5840,2628,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5860,2637,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5880,2646,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5900,2655,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5920,2664,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5940,2673,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5960,2682,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.5980,2691,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6000,2700,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6020,2709,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6040,2718,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6060,2727,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6080,2736,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6100,2745,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6120,2754,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6140,2763,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6160,2772,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6180,2781,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6200,2790,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6220,2799,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6240,2808,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6260,2817,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6280,2826,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6300,2835,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6320,2844,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6340,2853,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6360,2862,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6380,2871,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6400,2880,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6420,2889,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6440,2898,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6460,2907,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6480,2916,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6500,2925,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6520,2934,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6540,2943,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6560,2952,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6580,2961,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6600,2970,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6620,2979,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6640,2988,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6660,2997,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6680,3006,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6700,3015,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6720,3024,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6740,3033,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6760,3042,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6780,3051,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6800,3060,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6820,3069,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6840,3078,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6860,3087,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6880,3096,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6900,3105,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6920,3114,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6940,3123,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6960,3132,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.6980,3141,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7000,3150,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7020,3159,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7040,3168,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7060,3177,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7080,3186,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7100,3195,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7120,3204,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7140,3213,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7160,3222,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7180,3231,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7200,3240,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7220,3249,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7240,3258,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7260,3267,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7280,3276,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7300,3285,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.7320,3294,-96.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
